NO.,NAMA_SO,PROVINSI,ALAMAT,MASA_IZIN
236.,LPK SAKURA BINA CITA,JAWA BARAT,"JL. RAYA PUNCAK KM. 77 DESA KOPO, KECAMATAN CISARUA",13-12-2025
237.,ASIA TRAINING CENTER PADANG,SUMATERA BARAT,JALAN SIMPANG KAMPUNG TANJUNG NO. 2 KURANJI PADANG SUMATERA BARAT,13-12-2025
238.,LPK KAWAMATA 29 INDONESIA,LAMPUNG,JL. DEWI SARTIKA RT.029 RW. 006 BANJARSARI METRO UTARA KOTA METRO LAMPUNG 34111,13-12-2025
239.,LPK MOMOTARO NIHONGO GAKKOU,JAWA BARAT,GG GARDA II. JL RAYA KOSAMBI RT 019 RW 006 DESA DUREN KECAMATAN KLARI - 41371,13-12-2025
240.,LPK PROGRES INTI SOLUSI,JAWA TENGAH,"JLN.SULTAN AGUNG, RT.01, RW.03, DK.KETANDAN, KEL.KETANDAN, KEC.KLATEN UTARA, KAB.KLATEN",13-12-2025
241.,LPK KHASHA JAPANESE LANGUAGE CENTER,LAMPUNG,"JL.PRAMUKA,DUSUN SIDOREJO 1, RT/RW 036/005, DESA LABUHAN RATU 1 KEC. WAY JEPARA",13-12-2025
242.,LPK NIKKOU SKR INDONESIA,JAWA BARAT,PERUMNAS BUMI TELUKJAMBE BLOK QF NO.6 RT 003/ RW 021 DESA SUKALUYU KECAMATAN TELUKJAMBE TIMUR,18-11-2025
243.,LPK WAKASHIO GAKKOU,JAWA TENGAH,JL. KARYA BHAKTI DESA KECEPAK RT.04 RW.02 KEC. BATANG KAB. BATANG,07-11-2025
244.,LPK PT. REJEKI LANGGENG MAKMUR,BANTEN,"RUKO GREAT WESTERN RESORT BLOK A1/1 RT.04/RW.02, KEL. PANUNGGANGAN UTARA, KEC. PINANG",04-11-2025
245.,LPK CONDO BIROWO DINASTI,JAWA BARAT,"JLN RAYA PUNCAK NO 100 KM 72 KP CIBOGO II CIPAYUNG DATAR, MEGAMENDUNG, KAB BOGOR",01-11-2025
246.,LPK CAKRAWALA INDONESIA SEJAHTERA,DKI JAKARTA,KOMPLEK RUKO DUTA INDAH ALPHA I BLOK B.5 JL. PETA SELATAN NO. 77 DAAN MOGOT KALIDERES JAKARTA BARAT,01-11-2025
247.,PT. MIRAINO HASHI JAYA,JAWA BARAT,"JL. ALMUHAJIRIN RAYA RUKO NO.1, RT 01/ RW 05, KAMPUNG BENDUNGAN GRAHA PRIMA, DESA/KELURAHAN SATRIA JAYA, KECAMATAN TAMBUN UTARA, BEKASI",01-11-2025
248.,LPK OETOMO DIKLAT MAGANG JEPANG,JAWA TENGAH,"JL. SUKOHARJO-WONOGIRI NGAMBIL-AMBIL RT 01/RW 02, NGUTER, SUKOHARJO",01-11-2025
249.,LPK YAYASAN FUJI GLOBAL LINGUA,JAWA BARAT,JALAN RANDU SARI RAYA NO 6 ANTAPANI KIDUL ANTAPANI KOTA BANDUNG JAWA BARAT . 40291,01-11-2025
250.,INTERNATIONAL PARTNERSHIP,JAWA BARAT,PERUM BUMI RINJANI TAMAN BUMYAGARA BLOK C2 NO 4 MUSTIKA JAYA,01-11-2025
251.,LPK HIKARI INTERNASIONAL INDONESIA,JAWA BARAT,JL OTISTA NO 49,01-11-2025
252.,INOVASI BIMBINGAN TERPERCAYA,JAWA BARAT,"PERUM D'RENYA RUKO NO. 3, JL. PROF. MOH. YAMIN RT. 03 RW. 06 KEL. DUREN JAYA KEC. BEKASI TIMUR, KOTA BEKASI",19-10-2025
253.,HIKARI SENSEIKU INDONESIA,JAWA BARAT,JALAN TANJIDOR 7 A TURANGGA,19-10-2025
254.,LPK MATRIX ONE INDONESIA,DKI JAKARTA,JL WARUNG JATI BARAT RAYA NO 11B KALIBATA PANCORAN,12-10-2025
255.,LPK MULYACIPTA MANDIRI,JAWA BARAT,"KOMPLEK MEGAH CIKARANG CENTER RUKO MEGAH MAS, BLOK A NO.07 JL.GELAMAPIK. DESA PASIRSARI KECAMATAN. CIKARANG SELATAN, KABUTEN BEKASI 17530",12-10-2025
256.,LPK HIKARI HARUKA,SULAWESI UTARA,JL. MANGUNI 15/65 KEL. PERKAMIL KEC. PAAL 2,12-10-2025
257.,LPK HARAPAN INDAH,JAWA BARAT,"JL. IR. H. JUANDA NO.250, KARANGANYAR, KEC. INDRAMAYU, KABUPATEN INDRAMAYU, JAWA BARAT 45213",12-10-2025
258.,LPK NON STYLE INTERNATIONAL SCHOOL,NUSA TENGGARA BARAT,JLN. SRIWIJAYA NO.18 KEL. CILINAYA KEC. CAKRANEGARA KOTA MATARAM,12-10-2025
259.,PT DIPTA WIDYA SARASWATI,BALI,"JL. PROF. IDA BAGUS MANTRA NO 888X KESIMAN KERTALANGU, DENPASAR TIMUR",12-10-2025
260.,LPK SUPIT URANG PERKASA,JAWA TIMUR,"JL.PB SUDIRMAN DSN.YOSOWINANGUN RT.002 RW.003 DESA,JAJAG,KEC GAMBIRAN",30-09-2025
261.,LPK KOCHIRA BALI INDONESIA,BALI,"BANJAR KATIKLANTANG, DESA SINGAKERTA, KECAMATAN UBUD",30-09-2025
262.,LPKS AGS JAPAN GAKKOU,JAWA TENGAH,"DUSUN NUSADADI RT 09 RW 04, TINGGARJAYA, SIDAREJA.",30-09-2025
263.,LPK SINAR TERANG BERSATU,BALI,"JALAN GATOT SUBROTO TIMUR, KELURAHAN TONJA, DENPASAR UTARA",30-09-2025
264.,PT. ARK JINZAI SOLUSI,NUSA TENGGARA BARAT,GEREPEK DESA JANGO KEC.JANAPRIA KAB.LOMBOK TENGAH-NTB,26-09-2025
265.,LPK PUSAKA MULIA INSANI,JAWA TIMUR,"JL. RAYA SIWALAN PANJI, NO. 88-89, KEC. BUDURAN,",15-09-2025
266.,LPK EHSAN JAPAN,SUMATERA BARAT,JL. RAYA NANGGALO N0.21 PADANG,26-08-2025
267.,LPK YUUKI TRAINING CENTER INDONESIA,JAWA BARAT,"JL. RAYA CISANTANA-PALUTUNGAN BLOK PARIGI, CISANTANA KECAMATAN CIGUGUR KABUPATEN KUNINGAN PROVINSI JAWA BARAT 45552 INDONESIA",26-08-2025
268.,LPK MEGUMI JAINDO COOPERATION,SULAWESI SELATAN,"JL. BENTENG RAYA, RT/RW 003/005, KEL BENTENG, KEC WARA TIMUR, KOTA PALOPO",26-08-2025
269.,LPK KOUGAS WIJAYA NUSA,JAWA TIMUR,KEBONSARI RT 03 RW 03 BENCULUK CLURING Â€“ BANYUWANGI JAWA TIMUR,26-08-2025
270.,LPK GUNAMANDIRI,DKI JAKARTA,"D/A YAYASAN MADIRI DAYA UTAMA, GEDUNG RADIANT UTAMA JLN. KAPTEN P. TENDEAN NO.24",26-08-2025
271.,LPK ASAYAKA MAJU MULIA,JAWA TENGAH,"KRIYAN RT. 02 RW. 28 JIMBUNG, KALIKOTES, KLATEN",18-08-2025
272.,LPK ASA COURSE INDONESIA,JAWA TENGAH,"TAMBAK SARI 03/03, GEMBLEGAN, KALIKOTES",18-08-2025
273.,AICHI TRAINING CENTER,JAWA BARAT,"JL. H. MOH. ALI NO. 13 RT. 009 RW. 004, KEL. TANAH BARU, KEC. BEJI, KOTA DEPOK, PROV. JAWA BARAT",16-08-2025
274.,LPK KOPERASI KULAK MITRA PAKUAN ARDIN JABAR,JAWA BARAT,"JL. BARANANG SIANG NO. 15-17, KOSAMBI",16-08-2025
275.,LPK DUA SOBAT,JAWA BARAT,"JL. RAYA WERAGATI, NO. 677, DESA WERAGATI, KEL. PALASAH, KEC. MAJALENGKA, JAWA BARAT",16-08-2025
276.,YAYASAN PROKLAMATOR,SUMATERA BARAT,JL. AMPALU RAYA NO. 61 PEGAMBIRAN,01-08-2025
277.,KOBA MIRAI JAPAN,JAWA BARAT,"JL. PROKLAMASI RAYA NO. 27 KELURAHAN ABADIJAYA, KECAMATAN SUKMAJAYA",01-08-2025
278.,LPK ILEADER GAKUIN CENTER (IGC),JAWA BARAT,KP SUNGAREUN RT 05/04 DESA PRIANGAN JAYA KEC SUKALARANG KAB SUKABUMI JAWA BARAT 43191,01-08-2025
279.,LPK NAKAYOSHI GAKUIN CENTER,JAWA BARAT,JALAN RAYA JATIWANGI-MAJALENGKA DESA SUKARAJA WETAN RT.003/007 NO.04 DUSUN IV KEC.JATIWANGI KAB.MAJALENGKA,01-08-2025
280.,LPK. BITODE WIRA INDONESIA,JAWA BARAT,"JL. ARIF RAHMAN HAKIM NO.66 DESA KERESEK, KECAMATAN CIBATU, KAB. GARUT, PROV. JAWA BARAT",01-08-2025
281.,LPK KISEKI MANDIRI,DI YOGYAKARTA,JL. GLAGAHSARI 95A WARUNGBOTO UMBULHARJO YOGYAKARTA,27-07-2025
282.,LPK AIKO INDONESIA,BANTEN,JL. BSD RAYA UTAMA RUKO ALICANTE BLOK D 35 KEL. MEDANG KEC. PAGEDANGAN,27-07-2025
283.,LPK AMANAT NEGERI SAKURA,JAWA BARAT,JL.DIDI PRAWIRA KUSUMA NO.126 KP. BUNI PASIR MALEBER,27-07-2025
284.,DUTA MANDIRI INDONESIA,JAWA TIMUR,"JL.PATIMURA IV NO.49 TERTEK, KEC.TULUNGAGUNG",19-07-2025
285.,LPK MAMORU GLOBAL PARTNERS,JAWA BARAT,"JALAN SUKAHURIP NO.15, DSN CIAKAR RT 06 RW 02, CIMARIAS, PAMULIHAN",07-07-2025
286.,LPK.HIKARI INDONESIA,JAWA BARAT,PERUM GRAND PERMATA BLOK A1 NO.7-8 RT 001 RW 019 KELURAHAN PALUMBONSARI KEC.KARAWANG TIMUR,27-06-2025
287.,LPK SAHABAT JEPANG INDONESIA,JAWA TIMUR,PERUM PUTRI JUANDA BLOK C3 NO.5 RT/RW. 006/018 DESA PEPE KECAMATAN SEDATI,27-06-2025
288.,LPK MATAHARI NUSANTARA SENTOSA,JAWA BARAT,JL.MAYOR HARUN KABIN NO.10A BOJONGHERANG CIANJUR JAWA BARAT,27-06-2025
289.,LPK PRODIGI,BANTEN,"ICON BUSINESS PARK UNIT T-09, JL. RAYA CISAUK LAPAN, SAMPORA, CISAUK",27-06-2025
290.,PT JULIAN INDONESIA IWATE,SULAWESI UTARA,"JALAN KARANGRIA LINGKUNGAN III, KEL. BITUNG KARANGRIA, KEC. TUMINTING KOTA MANADO 95239, SULAWESI UTARA",27-06-2025
291.,BALI GLOBAL ACADEMY,BALI,"JALAN KUSUMAYUDHA, BANJAR DINAS PENATAHAN, DESA SUSUT, KECAMATAN SUSUT",27-06-2025
292.,LPK AUDI PRATAMA MANDIRI INDONESIA,JAWA BARAT,DSN. LIMUSNUNGGAL RT. 03/09 DESA RANCAMULYA KEC. SUMEDANG UTARA,17-06-2025
293.,YAYASAN GLOBALINDO,DI YOGYAKARTA,"JL SAWOJAJAR NO. 25 (SELOKAN MATARAM) PRINGGOLAYAN, CONDONGCATUR, DEPOK, SLEMAN",17-06-2025
294.,HORENSO INDONESIA,JAWA BARAT,JL.KALIMANTAN BLOK DD 1-1 KAWASAN INDUSTRI MM2100 CIKARANG BARAT BEKASI 17520,17-06-2025
295.,LPK EDA KAZOKU,JAWA BARAT,BALANDONGAN JL.SINDANGSARI NO.29 KEL.SUDAJAYAHILIR KEC.BAROS,15-06-2025
296.,LPK LPPR,BANTEN,"JL. BSD RAYA UTAMA RUKO ALICANTE BLOK D NO. 09-10, KEL. MEDANG, KEC. PAGEDANGAN",15-06-2025
297.,LPK KEIGA ANINDHA INDONESIA,JAWA BARAT,"RUKO RIVERTOWN BA 2 NOMOR 16, JALAN CELEBRATION BOULEVARD RAYA GRANDWISATA",08-06-2025
298.,LPK COOP INDONESIA,JAWA BARAT,"JL. KOLONEL ACHMAD SYAM NO.10 RT/RW 002/002 DS CIKERUH, KEC. JATINANGOR,",08-06-2025
299.,LPK HIJAU ANYAR INDONESIA,JAWA BARAT,"JALAN RAYA KALIJAGA NO. 43, KELURAHAN PEGAMBIRAN, KECAMATAN LEMAH WUNGKUK",06-06-2025
300.,LPK LIA CENTRAL JAYA,SULAWESI UTARA,"JLN. AIR TERANG, KEL. MALALAYANG SATU TIMUR, KEC. MALALAYANG",31-05-2025
301.,LPK MAGITA JAYA PERKASA,JAWA TENGAH,ALAMAT : JL. TAMAN GOMBEL INDAH MAS NO.1A NGESREP BANYUMANIK SEMARANG 50261,24-05-2025
302.,LPK KANADE INDONESIA BERKAH,JAWA TIMUR,JL. LOMBOK RT 62 RW 11 DESA KINCANG WETAN KEC. JIWAN KAB. MADIUN,24-05-2025
303.,LPK MULIA MANDIRI ABADI,JAWA BARAT,"JL. SUKANAGARA NO. 8, RT 03, RW 11, KELURAHAN KAHURIPAN, KECAMATAN TAWANG",24-05-2025
304.,LPK SEKAI MUSTIKA,JAWA BARAT,JLN. TALUN - RANCAKENDAL RT. 001/004 DESA JELEGONG KECAMATAN RANCAEKEK,13-05-2025
305.,IINE INTERNATIONAL,JAWA TENGAH,JL. JERUK TIMUR III NO. 18 KEL. KRAMAT SELATAN KEC. MAGELANG UTARA,13-05-2025
306.,LPK. AISHIRO GAKUEN,JAWA TENGAH,"JL. PALEBON IV/ 26 PEDURUNGAN, RT. 007 RW. 003, SEMARANG.",13-05-2025
307.,IMPIAN PROFESI INTERNASIONAL,DKI JAKARTA,"RUKO PECAH KULIT CENTER B5 & B6, JL. MANGGA BESAR IX NO. 53B BLOK B RT.011/RW.001, KEL. PINANGSIA, KEC. TAMAN SARI, JAKARTA BARAT 1110",13-05-2025
308.,PT.CIREMAI FUJI INDONESIA,JAWA BARAT,MAJASEM RT.003 RW.008 KEL.KARYAMULYA KEC.KESAMBI,13-05-2025
309.,LPK JAPINDO KARAWANG,JAWA BARAT,PERUMNAS BUMI TELUKJAMBE BLOK D NO. 291 RT01 /RW05 DS. SUKALUYU KEC. TELUKJAMBE TIMUR,13-05-2025
310.,LPK SIONINDO SUMBER SUKSES,JAWA TIMUR,"JALAN PRINGGODANI, DUKUH WETAN, DESA SOMOROTO RT. 002 RW. 002 KECAMATAN KAUMAN",26-04-2025
311.,LPK MINNA NO HIROBA,JAWA BARAT,PERUMAHAN MARHAMAH BLOK A N0 14 DESA SINDANG ASIH KECAMATAN KARANG TENGAH CIANJUR,11-04-2025
312.,LPK SERBAINDO,JAWA TENGAH,"JL. MERDEKA UTARA RAYA NO.1B/12, RT.01/RW.14, SIDOREJO LOR, KEC. SIDOREJO, KOTA SALATIGA, JAWA TENGAH 50714",11-04-2025
313.,LPK ZEN TRAINING CENTER,JAWA BARAT,"RUKOTAMANSARI PERSADA,BLOK A/1, JLN. BARU SOLEH ISKANDAR, KEL. CIBADAK, KEC. TANAH SAREAL, KOTA BOGOR, KODE POST 16166",11-04-2025
314.,SHIAWASE LESTARI INDONESIA,JAWA TENGAH,JL. ERLANGGA BARAT 7 NO. 8 PELEBURAN SEMARANG,11-04-2025
315.,LPK SHINZOU PANCA INDONESIA,JAWA TENGAH,"JALAN RAYA KALIERANG NO. 511, RT.006/RW.005, DESA KALIERANG, KEC. BUMIAYU",11-04-2025
316.,LPK PURNA YUDHA PRAKASA,JAWA BARAT,JL. H. BASUKI NO. 43 C,11-04-2025
317.,LPK JOGJA KENSHU SENTA,DI YOGYAKARTA,"MALANGAN RT02/RW01, DESA SENTOLO, KECAMATAN SENTOLO",11-04-2025
318.,LPK AOISORA SINAR INDONESIA,JAWA TENGAH,"SEKIP RT.08/RW. 02 KADIPIRO, BANJARSARI, SURAKARTA",11-04-2025
319.,LPK TAKAHASHI INDONESIA,JAWA TIMUR,JL. BANJARSARI RT 003 RW 002 GG. MUSHOLLA DESA BANJARSARI KECAMATAN CERME,28-03-2025
320.,LPK ORION HARMONI MANDALA,JAWA BARAT,"PASIR LEUTIK NO.104 RT 004 RW 003, KELURAHAN PADASUKA, KECAMATAN CIMENYAN",28-03-2025
321.,LPK MOMIJI,JAWA TENGAH,"JALAN ANTONOV KALIWULUNG RT 006/ RW 003, KELURAHAN NGESREP, KECAMATAN NGEMPLAK, KABUPATEN BOYOLALI",17-03-2025
322.,FAJAR INTERNASIONAL,JAWA TIMUR,JL. SARANGAN 1G MALANG,17-03-2025
323.,LPK DAIICHI,JAWA TENGAH,JL. TERNATE IV NO.28,17-03-2025
324.,LPK JI TRUST,JAWA BARAT,"JL. SITUSARI II NO. 3 BUAHBATU CIJAGRA, LENGKONG Â€“ KOTA BANDUNG",17-03-2025
325.,MEGA ASIA CENDEKIA,JAWA BARAT,"MEGA ASIA BUILDING LANTAI 2, JALAN OTTO ISKANDARDINATA NO 49 KELURAHAN KEBONJATI KECAMATAN CIKOLE",09-03-2025
326.,LPK FURUSATO INDONESIA,JAWA TIMUR,"JL. MESJID AL JAMHURI NO. 53 RT/RW 033/010 DESA SAWAHAN, TUREN",10-02-2025
327.,LPK LPB3A,NUSA TENGGARA BARAT,JL. DR. SOEDJONO NO 1 DASAN CERMEN BARAT KEC. SANDUBAYA MATARAM NTB 83232,10-02-2025
328.,LPK MULIA MEISOU INDONESIA,JAWA BARAT,"APARTMENT GATEWAY RUKO A5 & A6 , JL. JEND. AHMAD YANI NO. 669 CICADAS BANDUNG, JAWA BARAT 40125, INDONESIA",10-02-2025
329.,LPK PT IMPIAN SEMESTA RAYA,JAWA BARAT,JALAN KEMBAR NO 238 RT 003 RW 003 KELURAHAN KEPANDEAN INDRAMAYU,31-12-2024
330.,LPK YUMNAA ARSY KARA,JAWA BARAT,JALAN. RAYA PACET NO.76 (ANDIR) RT.03 RW.08 CIPARAY,31-12-2024
331.,LPK BAHANA INSPIRASI MUDA,JAWA BARAT,"JL. HEGARBUDHI NO 80/66, RT.002, RW.008, KELURAHAN HEGARMANAH, KECAMATAN CIDADAP",30-12-2024
332.,LPK HIGA NUSANTARA JAYA,BALI,"JL. DENPASAR - GILIMANUK DESA YEH SUMBUL, KEC. MENDOYO, KAB. JEMBRANA, BALI 82261",23-12-2024
333.,LPK JINZIYA KLATEN INDONESIA,JAWA TENGAH,"DK.CUCUKAN RT/002 RW 006 DS. WONOBOYO, KEC. JOGONALAN",23-12-2024
334.,LPK GLOBAL PLAN MANAGEMENT,JAWA BARAT,JL. DARU II BLOK G5 NO.18 DELTA SILICON V LIPPO CIKARANG KELURAHAN CICAU KECAMATAN CIKARANG PUSAT,23-12-2024
335.,LPK SARI AGUNG ABADI JAYA,JAWA TENGAH,"TLOGOREJO RT. 002 RW. 001 PARE, SELOGIRI",13-12-2024
336.,LPK KIZUNA,JAWA TIMUR,"RUKO TIRTA SQUARE, JL. TIRTA RAYA NO.1 A, PULOSARI, KUREKSARI, KEC. WARU, KABUPATEN SIDOARJO, JAWA TIMUR 61256",12-12-2024
337.,,,,09-12-2024
338.,LPK GANESHA KARYA ABADI,BALI,JL. PULAU MOYO XV NO. 16 DENPASAR,09-12-2024
339.,LPK DORYOUKU,NUSA TENGGARA BARAT,"JALAN LINGKAR SELATAN , LINGKAR PERMATA RESIDENCE BLOK A5X KELURAHAN JEMPONG BARU KECAMATAN SEKARBELA KOTA MATARAM PROPINSI NUSA TENGGARA BARAT KODEPOS 83115",07-12-2024
340.,LPK BINTANG CEMERLANG BALI,BALI,"JLN TIRTA CAMPUHAN NO.1 LC SUBAK AYA,BEBALANG BANGLI",07-12-2024
341.,LPK. PT KINKI SULTRA SINERGI,SULAWESI TENGGARA,JL. R. SUPRAPTO NO. 176 F KELURAHAN TOBUUHA KECAMATAN PUUWATU,07-12-2024
342.,LPK HIKARI SUMUT,SUMATERA UTARA,JL. BROMO NO.35 MEDAN,07-12-2024
343.,LPK BANGKIT INDONESIA,DKI JAKARTA,"JL. KH. ABDULLAH SYAFEI, BLOK. A, NO. 24. B. TEBET,JAKARTA SELATAN",07-12-2024
344.,LPK ACTI,BALI,"JL. RAYA GOA GONG NO.99X JIMBARAN, KUTA SELATAN, BADUNG-BALI",01-12-2024
345.,LPK JAYA INDONESIA BERKARYA,JAWA BARAT,"KOMPLEK DDN, BLOK B NO.31, SUKADANAU, CIKARANG BARAT, ID 17845",30-11-2024
346.,LPK HIROKI KENSHU,GORONTALO,JALAN AT-TAQWA DUSUN II DESA PASALAE KEC. GENTUMA RAYA KAB. GORONTALO UTARA,30-11-2024
347.,LPK YAYASAN HINODE ABADI INDONESIA,JAWA BARAT,"JL. GATOT SUBROTO NO 91 F, KEL. MALABAR KEC. LENGKONG",30-11-2024
348.,LPK JIEMA,LAMPUNG,"JL.IKAN MAS NO 46 RT.22/RW.09,KEL.YOSODADI,KEC.METRO TIMUR",11-11-2024
349.,LPK YASUI ABADI,JAWA TENGAH,JL.HANDOKO NO.10 RAJAWANA KEC.KARANGMONCOL PURBALINGGA,09-11-2024
